id,name,displayName,created,description,modified,entitlements,groups,permissions
TITLE-SOFTPHONE_AGENT_SEAT,Softphone Agent Seat,Softphone Agent Seat,,Agent softphone seat,,,,
TITLE-CALL_WRAP_SCRIPT,Call Wrap Script,Call Wrap Script,,Post-call wrap-up scripts,,,,
TITLE-THREAT_TRIAGE_DESK,Threat Triage Desk,Threat Triage Desk,,Security alert triage,,,,
TITLE-VULNERABILITY_QUEUE,Vulnerability Queue,Vulnerability Queue,,Vulnerability remediation queue,,,,
TITLE-ERP_CONFIG_DESK,ERP Config Desk,ERP Config Desk,,Financial ERP configuration,,,,
TITLE-CASH_POSITION_DESK,Cash Position Desk,Cash Position Desk,,Daily cash position,,,,
TITLE-BANK_PORTAL_ACCESS,Bank Portal Access,Bank Portal Access,,Corporate bank portal,,,,
TITLE-INVOICE_SETTLEMENT_QUEUE,Invoice Settlement Queue,Invoice Settlement Queue,,AP invoice settlement,,,,
TITLE-VENDOR_PAYMENT_RELEASE,Vendor Payment Release,Vendor Payment Release,,Vendor payment release,,,,
TITLE-STOCK_AGING_REPORT,Stock Aging Report,Stock Aging Report,,Inventory aging reports,,,,
TITLE-BUDGET_MODEL_DESK,Budget Model Desk,Budget Model Desk,,FP&A budget models,,,,
TITLE-SCENARIO_PLANNER,Scenario Planner,Scenario Planner,,Financial scenario planning,,,,
TITLE-PURCHASE_REQUISITION_DESK,Purchase Requisition Desk,Purchase Requisition Desk,,Purchase requisition processing,,,,
TITLE-SUPPLIER_CATALOG_DESK,Supplier Catalog Desk,Supplier Catalog Desk,,Supplier catalog browsing,,,,
TITLE-LEARNING_PATH_BUILDER,Learning Path Builder,Learning Path Builder,,Learning path authoring,,,,
TITLE-SOLUTION_DEMO_LAB,Solution Demo Lab,Solution Demo Lab,,Pre-sales demo lab,,,,
TITLE-RFP_RESPONSE_DESK,RFP Response Desk,RFP Response Desk,,Technical RFP responses,,,,
TITLE-TAX_PROVISION_DESK,Tax Provision Desk,Tax Provision Desk,,Tax provision worksheets,,,,
TITLE-RETURN_FILING_DESK,Return Filing Desk,Return Filing Desk,,Tax return filing workspace,,,,
TITLE-BENEFITS_ENROLLMENT_DESK,Benefits Enrollment Desk,Benefits Enrollment Desk,,Benefits enrollment processing,,,,
TITLE-PORTFOLIO_ALLOCATION_DESK,Portfolio Allocation Desk,Portfolio Allocation Desk,,Investment allocation,,,,
TITLE-DEAL_MEMO_DESK,Deal Memo Desk,Deal Memo Desk,,Investment deal memos,,,,
TITLE-COMP_BAND_DESK,Comp Band Desk,Comp Band Desk,,Compensation band maintenance,,,,
TITLE-SAVINGS_TRACKER_DESK,Savings Tracker Desk,Savings Tracker Desk,,Cost savings tracking,,,,
TITLE-SPEND_DEEP_DIVE,Spend Deep Dive,Spend Deep Dive,,Spend analytics workspace,,,,
TITLE-ENTERPRISE_ACCOUNT_DESK,Enterprise Account Desk,Enterprise Account Desk,,Enterprise account management,,,,
TITLE-EXECUTIVE_SPONSOR_PACK,Executive Sponsor Pack,Executive Sponsor Pack,,Executive sponsor materials,,,,
TITLE-TERRITORY_PIPELINE_DESK,Territory Pipeline Desk,Territory Pipeline Desk,,Regional territory pipeline,,,,
TITLE-STAGING_TEST_RACK,Staging Test Rack,Staging Test Rack,,Staging environment test rack,,,,
TITLE-DEFECT_TRIAGE_BOARD,Defect Triage Board,Defect Triage Board,,Staging defect triage,,,,
TITLE-COLLECTIONS_QUEUE,Collections Queue,Collections Queue,,AR collections queue,,,,
TITLE-CREDIT_MEMO_DESK,Credit Memo Desk,Credit Memo Desk,,Credit memo processing,,,,
TITLE-PRODUCTION_TEST_BENCH,Production Test Bench,Production Test Bench,,Production test bench,,,,
TITLE-CANDIDATE_PIPELINE_DESK,Candidate Pipeline Desk,Candidate Pipeline Desk,,Recruiting candidate pipeline,,,,
TITLE-INTERVIEW_SCHEDULER,Interview Scheduler,Interview Scheduler,,Interview scheduling desk,,,,
TITLE-DOMAIN_OPS_CONSOLE,Domain Ops Console,Domain Ops Console,,Windows domain operations,,,,
TITLE-PATCH_RING_DESK,Patch Ring Desk,Patch Ring Desk,,Windows patch rings,,,,
TITLE-SHIFT_CHART_DESK,Shift Chart Desk,Shift Chart Desk,,Nursing shift charting,,,,
TITLE-FRANCHISE_SCORECARD,Franchise Scorecard,Franchise Scorecard,,Franchise performance scorecard,,,,
TITLE-ROYALTY_DESK,Royalty Desk,Royalty Desk,,Franchise royalty reporting,,,,
TITLE-AUDIT_WORKPAPER_DESK,Audit Workpaper Desk,Audit Workpaper Desk,,Internal audit workpapers,,,,
TITLE-CONTROL_TEST_DESK,Control Test Desk,Control Test Desk,,Control testing workspace,,,,
TITLE-LEASE_ABSTRACT_DESK,Lease Abstract Desk,Lease Abstract Desk,,Lease abstract management,,,,
TITLE-SITE_ACQUISITION_DESK,Site Acquisition Desk,Site Acquisition Desk,,Site acquisition pipeline,,,,
TITLE-INBOUND_DOCK_DESK,Inbound Dock Desk,Inbound Dock Desk,,Inbound receiving dock,,,,
TITLE-PATENT_DOCKET_DESK,Patent Docket Desk,Patent Docket Desk,,Patent docket management,,,,
