id,name,displayName,created,description,modified,entitlements,groups,permissions
DEPT-LEDGER_CLOSE_DESK,Ledger Close Desk,Ledger Close Desk,,Period-end ledger close workspace,,,,
DEPT-VENDOR_MASTER_DESK,Vendor Master Desk,Vendor Master Desk,,Vendor master data maintenance,,,,
DEPT-DESIGN_REVIEW_BOARD,Design Review Board,Design Review Board,,Engineering design review workspace,,,,
DEPT-BUILD_PIPELINE_GATE,Build Pipeline Gate,Build Pipeline Gate,,Release candidate promotion gate,,,,
DEPT-PEOPLE_CASE_DESK,People Case Desk,People Case Desk,,HR case and inquiry desk,,,,
DEPT-POLICY_LIBRARY_DESK,Policy Library Desk,Policy Library Desk,,HR policy publishing desk,,,,
DEPT-SERVICE_DESK_CONSOLE,Service Desk Console,Service Desk Console,,IT service request console,,,,
DEPT-CHANGE_ADVISORY_BOARD,Change Advisory Board,Change Advisory Board,,IT change review board,,,,
DEPT-CLOSE_CALENDAR,Close Calendar,Close Calendar,,Financial close calendar,,,,
DEPT-FORECAST_WORKBENCH,Forecast Workbench,Forecast Workbench,,Budget and forecast workbench,,,,
DEPT-STOCK_MOVEMENT_DESK,Stock Movement Desk,Stock Movement Desk,,Inventory movement tracking,,,,
DEPT-CYCLE_COUNT_DESK,Cycle Count Desk,Cycle Count Desk,,Cycle count execution desk,,,,
DEPT-PORTFOLIO_MONITOR,Portfolio Monitor,Portfolio Monitor,,Asset portfolio monitoring,,,,
DEPT-CAPEX_PIPELINE,CapEx Pipeline,CapEx Pipeline,,Capital expenditure pipeline,,,,
DEPT-OPPORTUNITY_PIPELINE,Opportunity Pipeline,Opportunity Pipeline,,Sales opportunity tracking,,,,
DEPT-QUOTE_BUILDER_DESK,Quote Builder Desk,Quote Builder Desk,,Customer quote builder,,,,
DEPT-CONTACT_QUEUE_DESK,Contact Queue Desk,Contact Queue Desk,,Inbound contact queue,,,,
DEPT-CARE_CHART_DESK,Care Chart Desk,Care Chart Desk,,Patient care charting,,,,
DEPT-REGION_OPS_DESK,Region Ops Desk,Region Ops Desk,,Regional operations coordination,,,,
DEPT-SITE_ESCALATION_DESK,Site Escalation Desk,Site Escalation Desk,,Site incident escalation,,,,
DEPT-CLINICAL_ORDER_DESK,Clinical Order Desk,Clinical Order Desk,,Clinical order entry,,,,
DEPT-BOARD_PACK_DESK,Board Pack Desk,Board Pack Desk,,Executive board pack assembly,,,,
DEPT-STRATEGY_WAR_ROOM,Strategy War Room,Strategy War Room,,Executive strategy workspace,,,,
