id,name,displayName,created,description,modified,entitlements,groups,permissions
WORKPLACE-USER,Workplace User,Workplace User,,Baseline workplace access for active employees and contractors,,,,
CITY-LONE_STAR_BADGE_GATE,Lone Star Badge Gate,Lone Star Badge Gate,,Austin badge access gate,,,,
CITY-HILL_COUNTRY_PRINTERS,Hill Country Printers,Hill Country Printers,,Austin floor printers,,,,
CITY-BAY_CAMPUS_BADGE,Bay Campus Badge,Bay Campus Badge,,San Jose campus badge,,,,
CITY-EU_HUB_BADGE_GATE,EU Hub Badge Gate,EU Hub Badge Gate,,Brussels hub badge,,,,
CITY-ATOMIUM_MEETING_ROOMS,Atomium Meeting Rooms,Atomium Meeting Rooms,,Brussels meeting rooms,,,,
CITY-THAMES_HUB_ENTRY,Thames Hub Entry,Thames Hub Entry,,London Thames hub entry,,,,
CITY-FLEET_STREET_PRINTERS,Fleet Street Printers,Fleet Street Printers,,London floor printers,,,,
CITY-PAULISTA_BADGE_GATE,Paulista Badge Gate,Paulista Badge Gate,,Sao Paulo badge access,,,,
CITY-MARINA_BAY_BADGE,Marina Bay Badge,Marina Bay Badge,,Singapore Marina Bay badge,,,,
CITY-ORCHARD_MEETING_ROOMS,Orchard Meeting Rooms,Orchard Meeting Rooms,,Singapore meeting rooms,,,,
CITY-SHIBUYA_BADGE_GATE,Shibuya Badge Gate,Shibuya Badge Gate,,Tokyo Shibuya badge,,,,
CITY-XINYI_BADGE_GATE,Xinyi Badge Gate,Xinyi Badge Gate,,Taipei Xinyi badge,,,,
CITY-TAIPEI_PRINTERS,Taipei Printers,Taipei Printers,,Taipei floor printers,,,,
CITY-ISAR_CAMPUS_BADGE,Isar Campus Badge,Isar Campus Badge,,Munich Isar campus badge,,,,
CITY-HUDSON_BADGE_GATE,Hudson Badge Gate,Hudson Badge Gate,,New York Hudson badge,,,,
CITY-BROADWAY_MEETING_ROOMS,Broadway Meeting Rooms,Broadway Meeting Rooms,,New York meeting rooms,,,,
