id,name,description
L001-B001-R001,Boardroom,Boardroom located at Tower A
L001-B001-R002,Executive Suite,Executive Suite located at Tower A
L001-B001-R003,Reception,Reception located at Tower A
L001-B001-R004,Huddle Room,Huddle Room located at Tower A
L001-B001-R005,Telepresence Studio,Telepresence Studio located at Tower A
L001-B002-R001,Tech Lab,Tech Lab located at Block B
L001-B002-R002,Testing Bay,Testing Bay located at Block B
L001-B002-R003,Training Classroom,Training Classroom located at Block B
L001-B002-R004,Project Room Alpha,Project Room Alpha located at Block B
L001-B002-R005,Project Room Beta,Project Room Beta located at Block B
L001-B003-R001,Dining Hall,Dining Hall located at Commons
L001-B003-R002,Coffee Bar,Coffee Bar located at Commons
L001-B003-R003,Central Lounge,Central Lounge located at Commons
L001-B003-R004,Main Stage,Main Stage located at Commons
L001-B003-R005,Recreation Zone,Recreation Zone located at Commons
L001-B004-R001,Mailroom,Mailroom located at Annex
L001-B004-R002,IT Helpdesk,IT Helpdesk located at Annex
L001-B004-R003,Supply Closet,Supply Closet located at Annex
L001-B004-R004,Security Office,Security Office located at Annex
L001-B004-R005,Maintenance Shop,Maintenance Shop located at Annex
L002-B001-R001,Front Lobby,Front Lobby located at Main Office
L002-B001-R002,Conference Room A,Conference Room A located at Main Office
L002-B001-R003,Quiet Booth,Quiet Booth located at Main Office
L002-B001-R004,Hot Desking Hub,Hot Desking Hub located at Main Office
L002-B001-R005,Wellness Room,Wellness Room located at Main Office
L002-B002-R001,Loading Bay 1,Loading Bay 1 located at Warehouse
L002-B002-R002,Loading Bay 2,Loading Bay 2 located at Warehouse
L002-B002-R003,Main Inventory Floor,Main Inventory Floor located at Warehouse
L002-B002-R004,Shipping Desk,Shipping Desk located at Warehouse
L002-B002-R005,Manager Office,Manager Office located at Warehouse
L002-B003-R001,Operations Floor,Operations Floor located at Support Center
L002-B003-R002,Staff Breakroom,Staff Breakroom located at Support Center
L002-B003-R003,Onboarding Classroom,Onboarding Classroom located at Support Center
L002-B003-R004,Meeting Room C,Meeting Room C located at Support Center
L002-B003-R005,Focus Pod 1,Focus Pod 1 located at Support Center
L002-B004-R001,Co-Working Space,Co-Working Space located at Flex Space
L002-B004-R002,Creative Lounge,Creative Lounge located at Flex Space
L002-B004-R003,Phone Booth 1,Phone Booth 1 located at Flex Space
L002-B004-R004,Phone Booth 2,Phone Booth 2 located at Flex Space
L002-B004-R005,Event Arena,Event Arena located at Flex Space
L003-B001-R001,Hardware Workbench,Hardware Workbench located at Engineering
L003-B001-R002,Software Suite,Software Suite located at Engineering
L003-B001-R003,Local Server Room,Local Server Room located at Engineering
L003-B001-R004,Diagnostics Area,Diagnostics Area located at Engineering
L003-B001-R005,Collaboration Area,Collaboration Area located at Engineering
L003-B002-R001,Design Desk Row,Design Desk Row located at Design
L003-B002-R002,Material Library,Material Library located at Design
L003-B002-R003,CAD Station,CAD Station located at Design
L003-B002-R004,Prototyping Bay,Prototyping Bay located at Design
L003-B002-R005,Review Room,Review Room located at Design
L003-B003-R001,Finance Desk,Finance Desk located at Administration
L003-B003-R002,HR Office,HR Office located at Administration
L003-B003-R003,File Archives,File Archives located at Administration
L003-B003-R004,Visitor Lobby,Visitor Lobby located at Administration
L003-B003-R005,Interview Room 1,Interview Room 1 located at Administration
L003-B004-R001,Commercial Kitchen,Commercial Kitchen located at Cafeteria
L003-B004-R002,Indoor Seating,Indoor Seating located at Cafeteria
L003-B004-R003,Patio Dining,Patio Dining located at Cafeteria
L003-B004-R004,Pantry Storage,Pantry Storage located at Cafeteria
L003-B004-R005,Catering Office,Catering Office located at Cafeteria
L004-B001-R001,Classroom 101,Classroom 101 located at Block 1
L004-B001-R002,Classroom 102,Classroom 102 located at Block 1
L004-B001-R003,Classroom 103,Classroom 103 located at Block 1
L004-B001-R004,Classroom 104,Classroom 104 located at Block 1
L004-B001-R005,Storage Room 1A,Storage Room 1A located at Block 1
L004-B002-R001,Office 201,Office 201 located at Block 2
L004-B002-R002,Office 202,Office 202 located at Block 2
L004-B002-R003,Office 203,Office 203 located at Block 2
L004-B002-R004,Office 204,Office 204 located at Block 2
L004-B002-R005,Copy and Print Hub,Copy and Print Hub located at Block 2
L004-B003-R001,Seminar Room 301,Seminar Room 301 located at Block 3
L004-B003-R002,Seminar Room 302,Seminar Room 302 located at Block 3
