id,name
C01-P001-T001,AgileWorksクラウド版
C01-P002-T001,Coupa Risk Assess
C01-P003-T001,Coupa
C01-P004-T001,Datadog
C01-P005-T001,SkyDesk Email
C01-P006-T001,Kantega SSO for Bamboo
C01-P006-T002,Kantega SSO for Bitbucket
C01-P006-T003,Kantega SSO for Confluence
C01-P006-T004,Kantega SSO for FishEye/Crucible
C01-P006-T005,Kantega SSO for JIRA
C01-P007-T001,LinkedIn Talent Solutions
C01-P008-T001,SAML 1.1 Token enabled LOB App
C01-P009-T001,Sapient
C01-P010-T001,Microsoft Entra ID for Scuba Analytics
C01-P011-T001,SAML SSO for Twilio SendGrid
C01-P012-T001,UserZoom
C01-P013-T001,WalkMe SAML2.0
C02-P001-T001,AWS Single-Account Access
C02-P002-T001,Amazon Business
C02-P003-T001,AWS ClientVPN
C02-P004-T001,AWS IAM Identity Center (successor to AWS Single Sign-On)
C02-P005-T001,Citrix Cloud SAML SSO
C02-P006-T001,HPE SaaS
C02-P007-T001,Google Cloud / G Suite Connector by Microsoft
C02-P007-T002,On-premises SCIM app
C02-P008-T001,JIRA SAML SSO by Microsoft
C02-P009-T001,Oracle Cloud Infrastructure Console
C02-P010-T001,Snowflake for Microsoft Entra ID
C02-P011-T001,VMware Horizon - Unified Access Gateway
C02-P011-T002,VMware Identity Service
C03-P001-T001,Communifire
C03-P002-T001,Box
C03-P003-T001,Dropbox Business
C03-P004-T001,Egnyte
C03-P005-T001,Workplace from Meta
C03-P006-T001,LinkedIn Lookup
C03-P007-T001,Mimecast
C03-P008-T001,Progress ShareFile
C03-P009-T001,Slack
C04-P001-T001,Airtable
C04-P002-T001,Cornerstone Single Sign-On
C04-P002-T002,Saba Cloud
C04-P003-T001,Druva Integration with Microsoft Entra ID
C04-P004-T001,IBM Digital Business Automation on Cloud
C04-P005-T001,Adobe Experience Manager
C04-P005-T002,SharePoint on-premises
C04-P006-T001,Notion
C04-P007-T001,Directory Services
C05-P001-T001,GoalQuest
C05-P002-T001,JD Edwards - Protected by F5 BIG-IP APM
C05-P003-T001,HubSpot
C05-P004-T001,LinkedIn Sales Navigator
C05-P005-T001,Pathlock Compliant Access Management
C05-P005-T002,Pathlock Enterprise Business Controls Platform
C05-P005-T003,Pathlock Integration Platform
C05-P006-T001,Salesforce
C05-P006-T002,Salesforce Sandbox
C05-P007-T001,Segment
C05-P008-T001,Zendesk
C06-P001-T001,Anaplan
C06-P002-T001,Informatica Intelligent Data Management Cloud
C06-P002-T002,Informatica Platform
C06-P003-T001,New Relic by Account
C06-P003-T002,New Relic by Organization
C06-P004-T001,XM Discover
C06-P005-T001,SAP HANA
C06-P005-T002,SAP Qualtrics
C06-P006-T001,SumoLogic
C07-P001-T001,My Award Points Top Sub/Top Team
C07-P002-T001,Beekeeper Microsoft Entra SSO
C07-P003-T001,Broadcom DX SaaS
C07-P004-T001,Looker Analytics Platform
C07-P005-T001,SAP Cloud for Customer
C07-P006-T001,SAP Litmos
C07-P007-T001,Microsoft Entra SSO for Splunk Enterprise and Splunk Cloud
C07-P008-T001,Tableau Cloud
C07-P008-T002,Tableau Server
C08-P001-T001,GitHub Enterprise Cloud - Enterprise Account
C08-P001-T002,GitHub Enterprise Cloud - Organization
C08-P001-T003,GitHub Enterprise Managed User
C08-P001-T004,GitHub Enterprise Server
C08-P001-T005,GitHub Enterprise Server (Legacy)
C08-P002-T001,HashiCorp Cloud Platform (HCP)
C08-P003-T001,JFrog Artifactory
C08-P004-T001,Logz.io - Microsoft Entra Integration
C08-P005-T001,Mapbox
C08-P006-T001,Microsoft Entra SAML Toolkit
C08-P007-T001,MongoDB Atlas - SSO
C08-P008-T001,OutSystems Microsoft Entra ID
C08-P009-T001,PagerDuty
C08-P010-T001,Pluralsight
C09-P001-T001,Reach 360
C09-P002-T001,Cirrus Identity Bridge for Microsoft Entra ID
C09-P003-T001,Clever
